Batch,Operation,Start,End,Duration,,800
1,Collection Tank to Settling Tank-1,0,22,22,,
1,Settling-1,22,82,60,,
1,Supernatant-1 to Settling Tank-2,82,102,20,,
1,Settling-2,102,162,60,,
1,Settling Tank-1 Drain,102,112,10,,
1,Collection Tank to Settling Tank-1,112,134,22,,
1,Settling-1,134,194,60,,
1,Supernatant-2 to Outlet,162,192,30,,
1,Settling Tank-2 Drain,192,197,5,1,800
2,Supernatant-1 to Settling Tank-2,197,217,20,,
2,Settling-2,217,277,60,,
2,Settling Tank-1 Drain,217,227,10,,
2,Collection Tank to Settling Tank-1,227,249,22,,
2,Settling-1,249,309,60,,
2,Supernatant-2 to Outlet,277,307,30,,
2,Settling Tank-2 Drain,307,312,5,2,1600
3,Supernatant-1 to Settling Tank-2,312,332,20,,
3,Settling-2,332,392,60,,
3,Settling Tank-1 Drain,332,342,10,,
3,Collection Tank to Settling Tank-1,342,364,22,,
3,Settling-1,364,424,60,,
3,Supernatant-2 to Outlet,392,422,30,,
3,Settling Tank-2 Drain,422,427,5,3,2400
4,Supernatant-1 to Settling Tank-2,427,447,20,,
4,Settling-2,447,507,60,,
4,Settling Tank-1 Drain,447,457,10,,
4,Collection Tank to Settling Tank-1,457,479,22,,
4,Settling-1,479,539,60,,
4,Supernatant-2 to Outlet,507,537,30,,
4,Settling Tank-2 Drain,537,542,5,4,3200
5,Supernatant-1 to Settling Tank-2,542,562,20,,
5,Settling-2,562,622,60,,
5,Settling Tank-1 Drain,562,572,10,,
5,Collection Tank to Settling Tank-1,572,594,22,,
5,Settling-1,594,654,60,,
5,Supernatant-2 to Outlet,622,652,30,,
5,Settling Tank-2 Drain,652,657,5,5,4000
6,Supernatant-1 to Settling Tank-2,657,677,20,,
6,Settling-2,677,737,60,,
6,Settling Tank-1 Drain,677,687,10,,
6,Collection Tank to Settling Tank-1,687,709,22,,
6,Settling-1,709,769,60,,
6,Supernatant-2 to Outlet,737,767,30,,
6,Settling Tank-2 Drain,767,772,5,6,4800
7,Supernatant-1 to Settling Tank-2,772,792,20,,
7,Settling-2,792,852,60,,
7,Settling Tank-1 Drain,792,802,10,,
7,Collection Tank to Settling Tank-1,802,824,22,,
7,Settling-1,824,884,60,,
7,Supernatant-2 to Outlet,852,882,30,,
7,Settling Tank-2 Drain,882,887,5,7,5600
8,Supernatant-1 to Settling Tank-2,887,907,20,,
8,Settling-2,907,967,60,,
8,Settling Tank-1 Drain,907,917,10,,
8,Collection Tank to Settling Tank-1,917,939,22,,
8,Settling-1,939,999,60,,
8,Supernatant-2 to Outlet,967,997,30,,
8,Settling Tank-2 Drain,997,1002,5,8,6400
9,Supernatant-1 to Settling Tank-2,1002,1022,20,,
9,Settling-2,1022,1082,60,,
9,Settling Tank-1 Drain,1022,1032,10,,
9,Collection Tank to Settling Tank-1,1032,1054,22,,
9,Settling-1,1054,1114,60,,
9,Supernatant-2 to Outlet,1082,1112,30,,
9,Settling Tank-2 Drain,1112,1117,5,9,7200
10,Supernatant-1 to Settling Tank-2,1117,1137,20,,
10,Settling-2,1137,1197,60,,
10,Settling Tank-1 Drain,1137,1147,10,,
10,Collection Tank to Settling Tank-1,1147,1169,22,,
10,Settling-1,1169,1229,60,,
10,Supernatant-2 to Outlet,1197,1227,30,,
10,Settling Tank-2 Drain,1227,1232,5,10,8000
11,Supernatant-1 to Settling Tank-2,1232,1252,20,,
11,Settling-2,1252,1312,60,,
11,Settling Tank-1 Drain,1252,1262,10,,
11,Collection Tank to Settling Tank-1,1262,1284,22,,
11,Settling-1,1284,1344,60,,
11,Supernatant-2 to Outlet,1312,1342,30,,
11,Settling Tank-2 Drain,1342,1347,5,11,8800
12,Supernatant-1 to Settling Tank-2,1347,1367,20,,
12,Settling-2,1367,1427,60,,
12,Settling Tank-1 Drain,1367,1377,10,,
12,Collection Tank to Settling Tank-1,1377,1399,22,,
12,Settling-1,1399,1459,60,,
12,Supernatant-2 to Outlet,1427,1457,30,,
12,Settling Tank-2 Drain,1457,1462,5,12,9600
